# Coastline segments for fractal box-counting analysis
# Format: x1 y1 x2 y2
# Source: Natural Earth coastline data
# Number of segments: 2000
# Total length: 302.27 degrees
# Bounds: X=[-17.3458, 180.0000], Y=[-34.7566, 77.6411]
#
82.592480 70.889941 82.451660 70.690088
82.182422 70.511475 82.163184 70.598145
82.254297 71.056201 82.276953 71.093457
83.105664 71.562451 83.165527 71.602197
82.547266 71.758594 82.079883 71.706836
80.762500 72.089160 80.699219 72.098291
78.225391 72.377441 77.968164 72.328711
77.410840 72.107764 77.492871 72.071729
78.232422 71.952295 78.186914 71.907080
76.421680 72.006006 76.124023 71.926611
76.433398 71.552490 76.871191 71.446582
78.212598 71.266309 78.386523 71.087109
78.888672 70.997168 79.083887 71.002002
78.068262 70.986328 77.589648 71.167920
75.733594 71.265918 75.332031 71.341748
75.503223 71.654639 75.247461 71.813379
75.694434 72.253516 75.741406 72.296240
75.603125 72.512158 75.603516 72.581055
74.864941 72.838428 74.786816 72.811865
75.089941 72.263135 75.053223 72.199219
73.939453 71.914746 73.671777 71.845068
73.576563 71.216504 73.731543 71.068701
73.830176 70.175684 73.578125 69.802979
73.775684 69.198242 73.836035 69.143213
75.420020 69.238623 75.561133 69.251807
77.650684 68.903027 77.785254 68.630469
77.868262 68.234717 77.756836 68.222363
78.161230 67.678369 78.559082 67.639111
77.985547 67.559180 77.771582 67.570264
77.174414 67.778516 77.248438 67.941016
76.605762 68.897607 76.459180 68.978271
74.579590 68.751221 74.480957 68.658887
74.778223 67.985938 74.787305 67.897510
73.883301 67.084961 73.792090 66.995312
72.321582 66.332129 72.067578 66.253320
71.145508 66.366650 70.339453 66.342383
69.143945 66.640723 69.091113 66.723584
69.740430 66.814600 69.877148 66.845459
70.579102 66.753760 70.630762 66.754199
70.382812 66.602490 70.561426 66.548682
71.539551 66.683105 71.551172 66.760449
72.594336 67.586963 72.948730 67.696240
73.139453 68.181348 73.266406 68.294482
73.190723 68.706787 72.811914 68.815234
72.527051 69.154248 72.557324 69.378418
72.561914 70.345557 72.653320 70.403418
72.079297 71.306689 71.867285 71.457373
72.375000 71.821631 72.574121 72.012549
72.633789 72.744482 72.446387 72.790332
70.655371 72.890381 70.172168 72.901172
69.708984 72.956396 69.694336 72.977539
68.607422 72.012744 68.469434 71.852637
66.917578 71.282373 66.768066 71.139893
66.758789 70.962354 66.666113 70.900586
67.211523 70.798438 67.284766 70.738721
67.239258 70.108057 67.144434 70.030615
66.804004 69.659229 66.840234 69.609180
67.624121 69.584424 67.774316 69.529980
68.542773 68.967090 68.659570 68.927393
68.829492 68.567432 68.504199 68.348438
67.149219 68.753955 67.002441 68.873584
65.735742 69.132324 65.527930 69.173438
64.928516 69.325391 64.592188 69.435645
61.015918 69.851465 60.909082 69.847119
60.337305 69.457031 60.664551 69.110254
60.489160 68.728955 60.160254 68.699512
59.897363 68.421924 59.858789 68.396045
59.099023 68.444336 59.112305 68.616309
59.110156 68.896289 59.059863 68.972559
58.173047 68.889746 57.444336 68.641504
56.043652 68.648877 55.924609 68.637305
54.923047 68.373828 54.861328 68.201855
54.232910 68.266309 54.099219 68.259033
53.260547 68.267480 53.293359 68.311670
53.930859 68.435547 53.917676 68.536963
53.970605 68.844287 53.919531 68.871240
54.491211 68.992334 54.185840 69.003320
52.435059 68.610205 52.550098 68.592432
52.396680 68.351709 52.322266 68.339697
52.128809 68.532031 52.055664 68.541309
51.078516 68.363330 50.838867 68.349951
49.155273 67.870410 48.953906 67.853809
48.877930 67.731348 48.833203 67.681494
47.908203 67.454688 47.839258 67.355713
46.690820 66.825537 46.552344 66.818994
45.986035 66.853125 45.885352 66.891064
44.902148 67.413135 44.939453 67.477441
46.690430 67.848828 46.683594 67.970459
45.078125 68.578174 44.175293 68.541748
43.333203 68.673389 43.358008 68.635791
44.213867 68.112598 44.231543 68.071240
43.782422 67.254492 43.855371 67.188623
44.437109 66.794629 44.488672 66.671777
44.132422 66.064551 44.104395 66.008594
43.623926 66.146729 43.541895 66.123389
43.233203 66.415527 43.005957 66.420947
42.210547 66.519678 42.083594 66.465918
40.691602 65.963428 40.512793 65.843799
39.749121 65.447949 39.798047 65.349854
40.444922 64.778711 40.407813 64.754883
39.758008 64.577051 39.567383 64.570557
38.412109 64.857080 38.228223 64.851221
37.050195 65.195898 36.882812 65.172363
36.578711 64.790967 36.624219 64.750537
37.429590 64.373584 37.740625 64.396973
38.070801 64.025830 37.967969 63.949121
36.713770 63.945068 36.364941 64.002832
35.647070 64.378320 35.432031 64.346777
34.905469 64.738672 34.952246 64.755957
34.535938 65.277930 34.406445 65.395752
34.776953 65.768262 34.793164 65.816357
33.566699 66.320996 33.415820 66.315625
33.517676 66.471387 33.405273 66.484277
32.928711 66.704102 32.862402 66.721387
32.340625 67.067871 32.201563 67.113232
32.885254 67.061133 32.847559 67.021533
33.522949 66.764355 33.595410 66.784619
34.430859 66.629785 34.396094 66.613184
35.513477 66.395801 36.373438 66.302295
37.900684 66.095605 38.397559 66.064453
41.188965 66.826172 41.275586 66.914307
41.133887 67.386035 41.060938 67.444189
40.380664 67.831885 40.206641 67.941895
39.789746 68.112158 39.823340 68.058594
38.430176 68.355615 38.357617 68.415137
35.289844 69.275439 35.233203 69.265576
34.229395 69.313135 33.684375 69.310254
33.196387 69.116846 33.327734 69.151855
33.384863 69.444287 33.255859 69.427734
32.883789 69.460840 32.636816 69.489453
32.176758 69.674023 32.754297 69.605713
32.941699 69.751855 32.565430 69.806494
31.997949 69.809912 31.879395 69.831982
31.049512 69.769238 30.869727 69.783447
30.428320 69.722266 30.397266 69.732812
30.088281 69.717578 29.990332 69.736670
29.621387 69.874072 29.646875 69.943701
30.262988 70.124707 30.468945 70.197852
30.422070 70.547168 30.213184 70.543311
29.796484 70.642529 29.737500 70.646826
29.218555 70.829932 29.102344 70.860742
28.437305 70.501367 28.309863 70.443066
28.191016 70.440186 28.202734 70.576904
27.898047 70.677930 27.950977 70.717578
28.141699 71.043018 27.815039 71.059375
27.269043 70.910010 27.555664 70.827393
27.071289 70.608447 26.989355 70.511377
26.628125 70.550879 26.644629 70.636230
26.506934 70.912793 26.230859 70.782617
25.043848 70.109033 24.982715 70.143994
25.468262 70.671973 25.665625 70.777148
25.569824 70.900684 25.435938 70.911865
25.171191 70.872021 25.042188 70.928613
24.263477 70.826318 24.268164 70.772705
24.038477 70.485352 23.897168 70.478760
23.310254 70.063574 23.400195 70.019775
22.982813 70.236768 22.941211 70.304980
22.321973 70.264502 22.219434 70.309180
21.355762 70.233398 21.346289 70.208252
21.974707 69.834570 21.931738 69.814697
21.163086 69.889502 21.032129 69.887451
20.545996 69.851074 20.532715 69.692334
20.486719 69.542090 20.197656 69.370947
20.338184 69.616650 20.332715 69.676953
20.146387 69.896729 20.068945 69.883447
19.639746 69.503809 19.695996 69.612939
19.011328 69.623730 19.006836 69.587695
18.614453 69.490576 18.624414 69.434375
18.482617 69.364844 18.378711 69.439844
18.075391 69.232617 18.117480 69.181201
17.490039 68.878760 17.390820 68.799365
16.514355 68.532568 16.525293 68.490674
17.502344 68.461084 17.571191 68.447461
16.951367 68.354687 16.864941 68.355273
16.259766 68.144531 16.319238 68.101758
16.312305 67.881445 16.260742 67.886572
15.851270 68.182178 15.656641 68.164355
15.605762 67.987891 15.621387 67.948291
15.048438 67.955762 14.798926 67.809326
15.040820 67.682568 15.303906 67.765283
15.354004 67.543945 15.487305 67.514795
15.552930 67.351758 15.465332 67.450928
14.754980 67.499023 14.578516 67.386035
14.581543 67.267432 14.824414 67.268311
14.600684 67.173877 14.472656 67.142676
13.880176 66.964893 13.808398 66.960791
13.959473 66.794336 13.787988 66.782471
13.211426 66.640820 13.191602 66.537158
13.352051 66.236719 13.416406 66.252588
13.915820 66.247363 13.759668 66.221045
12.976074 66.019189 13.033105 65.956250
12.344824 65.630176 12.272852 65.568164
12.263379 65.256104 12.333984 65.240723
12.819824 65.317480 12.915527 65.339258
12.159668 65.178955 11.489355 64.975830
11.561719 64.818262 11.632910 64.813916
10.932324 64.577734 10.833984 64.494482
9.939453 63.981738 9.864453 63.917822
9.657227 63.697314 9.767480 63.699512
10.339160 63.571045 10.934863 63.770215
11.213574 64.030518 11.306641 64.048877
11.213867 63.878125 11.307617 63.875732
10.952539 63.698193 10.779199 63.651172
10.704492 63.463574 10.590918 63.447217
9.979199 63.395264 9.936035 63.478857
9.520703 63.585693 9.323633 63.570361
9.135840 63.593652 8.842383 63.645898
8.360742 63.498877 8.386523 63.445264
8.580176 63.313379 8.271484 63.286572
8.609180 62.880566 8.623145 62.846240
7.736035 63.103857 7.654297 63.109180
6.928223 62.902734 6.781543 62.789648
7.242090 62.752344 7.408398 62.711768
7.518164 62.645508 7.527441 62.610303
7.283789 62.602295 6.961133 62.626758
6.272852 62.583838 6.237500 62.519922
6.261719 62.416309 6.457129 62.448096
6.083496 62.349609 6.025586 62.375684
5.533301 62.310889 5.484277 62.239111
5.143164 62.159912 5.096484 62.026660
6.131152 61.852441 6.395898 61.850977
5.793262 61.827100 5.465332 61.896924
4.927832 61.710693 4.996680 61.645215
5.258301 61.455469 5.172461 61.457129
5.324609 61.108252 5.451270 61.102344
6.492578 61.154590 6.543066 61.244531
6.794336 61.190381 6.942578 61.160547
7.331152 61.372021 7.442578 61.434619
7.545020 61.177148 7.040137 61.091162
6.972070 61.055957 6.903418 61.102148
5.983984 61.117334 5.505273 61.056104
5.024609 60.936133 5.010742 60.858545
5.589355 60.694287 5.648340 60.687988
5.285840 60.205713 5.417383 60.154102
5.494531 60.070312 5.376465 60.067236
5.187109 59.907080 5.119238 59.833691
5.234473 59.691797 5.263867 59.709766
5.800879 60.026221 5.876563 60.070020
6.346973 60.419092 6.806348 60.500781
6.660938 60.367236 6.526855 60.152930
6.140527 60.233496 6.105176 60.165137
5.730469 59.863086 5.763477 59.807910
6.216602 59.818359 5.991016 59.744678
5.529688 59.713086 5.472461 59.713086
5.131641 59.226465 5.173242 59.162549
5.717969 59.329834 5.845215 59.353467
6.415332 59.547119 6.305664 59.505566
5.968555 59.186133 5.948730 59.135449
6.321094 59.016455 6.363281 59.000928
5.612207 59.012891 5.555566 58.975195
5.976562 58.432324 6.054688 58.375146
6.676758 58.233789 6.692480 58.224023
6.731445 58.068311 6.766797 58.081543
6.895313 58.120752 6.890234 58.102295
7.875586 58.079980 8.037402 58.147266
9.178125 58.675000 9.193750 58.711865
9.551074 58.933008 9.618457 58.946045
9.635156 59.117773 9.800195 59.027051
10.205176 59.038672 10.243164 59.062061
